Title,Price,Product Description,Product Information,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s)
"EveryYay White 2-Door Dog Crate, 42"" L X 28"" W X 30"" H",,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> 2-Door Crate from EveryYay  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 2 removable doors create an optional open den with large opening and low threshold for easy entry and exit  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Divider panel allows living area to adjust as puppy grows  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Foldable design sets up and stores away easily with no tools required  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Leak-proof crate pan is easily removed, then locks in place with pan stop  </span></li>  </ul>",,Brand,EveryYay,Target Species,Dog,Product Dimensions,"42""L x 28""W x 30""H",Special Feature,Foldable,Included Components,Divider,,,,,,
"KindTail Pawd Fully Collapsible Dog Crate and Washable Dog Bed, Stylish Portable Dog Crate and Crate Pad for Pet Travel, Pet Kennel with Dog Bed or Cat Bed (Spruce Green Set)",,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Modern, Innovative Pet Nesting Crate - Say goodbye to the traditional jail-like cat or dog cage with our pet crate and nap mat bundle. We merge functionality and innovation to make our pet products blend well with your home interior.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Safe, Calming Dog Bed - Our chew proof dog bed is made of polar fleece fabric with no zippers. It perfectly fits in the collapsible crate, so your pet dog or cat can rest and play in this cat and dog kennel with ease.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Lightweight and Collapsible - Take your fur babies anywhere with this cat and dog travel crate and pet bed. A built-in handle transforms it into flat, portable crate. The dog crate door is conveniently designed to stay open for your pet’s potty breaks.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Makes Cleaning a Breeze - Our puppy pads are machine-washable, making maintenance so easy!  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Available in 4 Colors - Our functional, collapsible dog kennel and pup rug come in stylish grey, pink, and white colors. They can fit small-sized dogs or cats weighing up to 12lbs. Pick what best suits your pet!  </span></li>  </ul>",,Color,Spruce Green,Brand,KindTail,Product Dimensions,"21""L x 16""W x 16.5""H",Target Audience,"Cat, Dog",Material,"Fleece,Fur",,,,,,
"Ring Peephole Cam - Smart video doorbell, HD video, 2-way talk, easy installation",,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Upgrade your door’s peephole with a 1080p HD video doorbell that enables you to see, hear, and speak to visitors from anywhere.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Get alerts on your phone, tablet, and PC when anyone knocks on your door, presses the doorbell button, or triggers the motion sensors.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Peephole Cam is easy to install and comes with all the tools you need to replace your peephole in under 5 minutes; no wiring or drilling required.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Connect your Ring doorbell with Alexa to hear announcements on your compatible Echo device when your doorbell is pressed and see a live view of your camera if you have an Echo device with a screen. Talk to visitors by saying “Alexa, talk to the front door.”  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Advanced Motion Detection lets you easily adjust the built-in motion sensors to focus on and detect what’s important to you.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Always know when you have a delivery and tell the courier to place your packages in an ideal location.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> With a Ring Protect Plan (subscription sold separately), record all your videos, review what you missed for up to 180 days, and share videos and photos.  </span></li>  </ul>",,,,,,,,,,,,,,,,,
Neakasa by neabot P1 Pro Pet Grooming Kit & Vacuum Suction 99% Pet Hair with 5 Professional Grooming Shedding Tools for Dogs Cats and Other Animals,,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐶【Pet Grooming Vacuum with 5 Professional Tools】This pet grooming clippers come with 5 proven tools: Grooming brush and De-shade brush to help prevent damaging the topcoat whilst promoting a soft, smooth, healthier skin &amp; coat for your pet; Electric clipper provides excellent cutting performance; Nozzle head and Cleaning brush can be used for collecting pet hair falling on the carpet, sofa and floor.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐱【Vacuum Suction 99% Pet Hair】 Traditional home grooming tools bring about a lot of mess and hair in the home. But our P1 Pro grooming kit with vacuum function collects 99% of pet hair into a vacuum container while trimming and brushing hair, which can keep your home clean, and there’s no more tangled hair and no more piles of fur spreading all over the house.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐰【5 Comfort Guard Combs】: The adjustable clipping comb(3mm/6mm/12mm/18mm/24mm) is applicable for clipping hair of different lengths, you can easily style your pet's hair at home . The detachable guide combs are made for quick, easy comb changes and increased versatility.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐕【Low Noise Design】: 3 Adjustable Suction Levels to choose. Pet clippers for dogs with low noise design to help the pet feel at ease and no longer afraid of haircut. We suggest grooming your pet with our brush before trimming pet hair, treating your pet with little snacks to avoid making your pet nervous because of vacuuming noise, which conclusively makes the grooming experience even more enjoyable.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐈【Easy Empty Dustbin &amp; Easy to Store】The removable dust cup is equipped with an easy empty lid for quick, mess-free empty after cleaning, this made clean up so easy since all the hair is vacuumed up as soon as it leaves the dog . It is washable and reuseable, no extra maintenance cost. The device is highlighted with space-saving feature, as its hose and cord can be both twined on the machine for easy storage.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐇【After-Sales Service】: Neakasa P1 Pro Pet Grooming Kit &amp; Vacuum provides 1 Year Warranty &amp; 45 days No-Worry Return. 7*24 customer service after your purchase. If you have any problems, please feel free to contact us via message.  </span></li>  </ul>",,Recommended Uses For Product,"Grooming,Professional",Color,Multi-color,Hair Type,All,Brand,Neakasa,Power Source,Corded Electric,,,,,,
"Neakasa by neabot P2 Pro Dog Grooming Kit, Dog Clippers Vacuum Suction 99% Hair, Pet Grooming with 5 Proven Tools, 2L Large-Capacity Easy Empty Dustbin for Dogs Cats Animals (Blue-White)",,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> 【5 Professional Grooming Tools】 Grooming brush and Deshed tool to help prevent damaging the topcoat whilst promoting a soft, smooth, healthier skin &amp; coat for your pet; Electric clipper provides excellent cutting performance; Nozzle tool and Cleaning brush can be used for collecting pet hair falling on the carpet, sofa and floor.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 【2L Large-Capacity &amp;Easy Empty Dustbin】The pet grooming vacuum kit is equipped with a 2L dust cup, large enough to contain more pet hair, no need to empty it often during grooming. Opening the lid of the removable dust box, dump all the hair directly into the garbage, quick and mess-free empty after grooming.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 【Get Your Pet the Hairstyle You Like】This pet electric clipper is super easy to use, comes with 5 comfort guard combs of different lengths(3mm/6mm/12mm/18mm/24mm), you will feel free to style your pet. With the detachable limit guard comb, you can control the length of your pet's hair according to its appearance, and also can safely trim hair even if you've never done it before.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 【Keeps Your Home Clean and Hair-free】 Traditional home grooming tools bring a lot of mess and hair in the home. Neakasa P2 Pro grooming kit with the powerful built-in vacuum can suck 99% of pet hair into a container while trimming and brushing, which can keep your home clean, there’s no more mount of hair leaving on your clothes, and no more piles of fur spreading all over the house.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 【Low Noise Design】 This pet vacuum cleaner has 3 suction speeds with a low-noise design to help the pet feel at ease and no longer afraid of haircuts. We suggest grooming your pet with our brush before trimming pet hair, and treating your pet with little snacks to avoid making your pet nervous because of vacuuming noise, which conclusively makes the grooming experience even more enjoyable.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Note: Correctly installed in accordance with the method to ensure that there is suction power！ The two protruding corners at the bottom of the dust cup must be inserted right in the corresponding position of the vacuum machine, while hearing a click completes the installation. Here is a customer video review to show how to install it correctly: https://www.amazon.com/gp/customer-reviews/RW2821K8O09SE  </span></li>  </ul>",,Recommended Uses For Product,"Grooming,Professional",Color,Blue-white,Hair Type,Thick,Brand,Neakasa,Power Source,Corded Electric,,,,,,
"Afloia Dog Grooming Kit, Pet Grooming Vacuum & Dog Clippers Nail Trimmer Grinder & Dog Brush for Shedding with 7 Pet Grooming Tools, Low Noise Dog Hair Remover Pet Grooming Supplies",,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐕【Game Changer with Vacuum Suction】 Are you annoyed at the messy scene caused by the traditional dog clipper? This pet hair remover kit is designed with a powerful vacuum that can capture pet hair into the vacuum cup, hair won’t get on your clothes, and no cleaning up after grooming. Don't worry about hair spreading all over the house again.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐶【Professional Pet Salon at Home】 Afloia dog grooming kit includes 7 attachments: grooming brush &amp; deshedding tool to remove loose and tangled hair; dog clippers, paw trimmer and nail grinder can fairly do hair cut job; cleaning brush and nozzle help clean the work area. This pet grooming kit saves time and expense in going to the pet store which will pay for itself quickly.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐈【Low Noise Won't Scare Your Beloved Pets】 After special noise reduction processing, the working sound of the dog grooming vacuum is lower than 60db, which at least half as soft as a regular vacuum. We received feedback from thousands of users who said that their pets are not scared of the hair vacuum.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐱【Powerful Suction &amp; Larger Dust Cup】 The cat grooming kit has 3 suction levels to choose from, it is powerful enough to effectively get dog hair sucked even if your fur kids have a thick coat. And the 1.5L dust cup is 50% larger than others that no need to empty the cup frequently during grooming.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐶【Portable Wireless Clipper】 The dog grooming clipper is detachable and inbuilt with a rechargeable battery, which can be used individually. You can follow your lively pet around when trimming. The pet paw trimmer and nail grinder can be directly installed on the clipper for portable use.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 🐱【Flexible Use &amp; Easy Storage】 The hose is extended to 4.9FT and the power cable is 8.7FT, which is long enough to provide more flexibility, you can groom your pet in the yard or large living room without distance limitation. Besides, all accessories are organized perfectly in the storage tray, farewell to clutter.  </span></li>  </ul>",,Brand,Afloia,Unit Count,1.00 Count,Power Source,Corded Electric,,,,,,,,,,
"Prevue Pet Products 528 Universal Small Animal Home, Dark Gray",89.99,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Designed to home a wide variety of small animals  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Tight 3/8'' wire spacing  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Extra deep 6 1/4'' tubby base  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 2 large entry doors - one on top and one on the side  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 32 ½’’ L x 19’’ W x 17 ½’’ H with 3/8’’ wire spacing  </span></li>  </ul>",,Brand,Prevue Pet Products,Target Species,Ferret,Product Dimensions,"32.5""L x 19""W x 17.5""H",Gap Size,9.5 Millimeters,Material,Plastic,,,,,,
Burley Bike Trailer 16+ Wheel Kit,179.95,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Includes two 16x3"" wheels  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Aluminum rim &amp; hub with steel spokes  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Knobby tread for superior handling  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Easily tackles various types of terrain  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Easy to use push button design  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 2016-Current Minnow, 2010-Current Bee, 2014-Current Honey Bee, 2013-Current Encore, 2019-Current Encore X, 2013-2018 Solo, 2019-Current D 'Lite Single, 2013-Current D 'Lite, 2019-Current D 'Lite X, 2014-Current Flatbed, 2014-Current Nomad, &amp; 2023 Tail Wagon  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Sport type: Outdoor Lifestyle  </span></li>  </ul>",,Brand,Burley Design,Color,Black,Item Weight,1 Pounds,Item Dimensions LxWxH,27.5 x 7.5 x 19 inches,Frame Material,"Stainless,Aluminum,Steel",Seating Capacity,1,,,,
Cardinal Gates EX100 XpandaGate Expandable Baby Gate - Extra Wide Dog Gate - Adjustable Safety Gate for Kids & Pets - 30 to 90 Inches Wide - Black,,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> EXTRA WIDE BABY GATE - Great for protecting your children, no matter how wide the span. Features one 30.5 inch door panel and two 30 inch side panels. The door opening is 23 inches and the bar spacing is 2.5 inches. The gate is adjustable and fits openings 30 to 90 inches wide.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> EASY TO INSTALL - Our pet gate includes sliding, adjustable mounting brackets for installing above baseboards. For wider openings purchase a 15 inch extension (model EX15). Add as many extensions as necessary to span long areas.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> ONE-HAND OPERATION - Our safety gate can be quickly and easily operated with one hand. Opens in both directions. The push button technology allows for added convenience without sacrificing safety. Our baby gates are Juvenile Product Manufacturers Association (JPMA) certified.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> VERSATILE DESIGN - Ideal for child and pet safety, supervision, and accident prevention. It's the perfect gate to secure stairs, doorways, hallways, bathrooms, kitchens, and more. Features an all-steel construction with a powder-coated finish.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> US BASED COMPANY - Cardinal Gates has been in business since 1993 and our operations are based outside of Atlanta GA. We are a small business that prides itself on the quality of both its products and its customer service. You can trust us with all your safety needs.  </span></li>  </ul>",,Material,Aluminum,Color,Black,Brand,Cardinal Gates,Item Dimensions LxWxH,100 x 2 x 29.5 inches,Item Weight,25 Pounds,,,,,,
"Enchanted Home Pet Dreamcatcher Dog Sofa, 33.5 by 21 by 12.5-Inch, Caramel",160.17,"<h1 class=""a-size-base-plus a-text-bold""> About this item </h1> <ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> 2” legs lift bed off floor, keeping your pet draft free  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Storage pocket for toys and bones  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Removable/washable cushion cover, Cushion is 21"" x 15"". The height from the floor to the top of the cushion is 12.5"".  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Fits pets up to 30 lbs  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Bed size is 33.5” x 21” x 12.5”  </span></li>  </ul>",,Brand,Enchanted Home Pet,Breed Recommendation,Medium dogs up to 30 lbs,Special Feature,"Washable, Removable Cover",Material,"Faux Leather, Wood",Product Dimensions,"33.5""L x 21""W x 12.5""Th",,,,,,
